card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,client_name,sex,city,city_code,city_zone
high,0,27,4.6,0.11,405.35,yes,no,4,28.0,1,13,Amy Rivera,Female,San Diego,2,11022
medium,0,26,3.0,0.12,310.94,yes,no,0,7.0,1,10,Richard Rice,Male,San Diego,2,11022
high,0,23,2.58,0.03,53.64,no,no,0,8.0,1,1,Jake Foley,Male,Other,0,11020
high,0,29,1.51,0.05,63.92,no,no,1,7.0,0,1,Andre Knox,Male,Other,0,11020
high,0,30,1.85,0.11,165.86,no,no,0,60.0,1,12,Sharon Tran,Female,San Francisco,3,11023
high,0,38,2.6,0.0,9.58,no,no,0,12.0,1,1,Richard Bell,Male,Other,0,11020
low,0,28,1.8,0.0,0.0,no,yes,2,26.0,1,2,Austin Burns,Male,Other,0,11020
high,0,35,2.0,0.19,319.49,no,no,0,156.0,1,4,Matthew Hayes,Male,San Diego,2,11022
low,0,37,3.26,0.0,0.0,no,no,1,98.0,0,1,Andrew Reilly,Male,Other,0,11020
high,0,26,2.35,0.04,83.08,no,no,1,30.0,0,2,Jill Flores,Female,Other,0,11020
high,0,27,7.0,0.11,644.83,yes,no,0,164.0,1,13,Bobby Odonnell,Male,Sacramento,1,11021
low,0,49,3.6,0.0,0.0,no,no,2,12.0,0,0,Sean Choi,Male,Other,0,11020
high,0,24,2.0,0.06,93.2,no,no,0,18.0,1,12,Sara Moreno,Female,Other,0,11020
high,0,20,1.7,0.07,105.04,no,no,0,6.0,1,4,Kevin Stone,Male,Other,0,11020
high,0,23,2.8,0.01,34.12,no,no,2,48.0,1,8,Michael Jones,Male,Other,0,11020
high,0,25,2.4,0.02,41.19,no,no,0,34.0,1,2,Michael Snyder,Male,Other,0,11020
high,1,32,3.0,0.07,169.89,no,no,0,216.0,0,5,James Davis,Male,San Francisco,3,11023
high,0,34,4.8,0.47,1898.03,no,no,3,12.0,1,1,Paul Livingston,Not Declared,Sacramento,1,11021
high,0,33,3.18,0.31,810.39,no,no,4,18.0,0,3,Jaime Murray,Not Declared,Sacramento,1,11021
low,0,44,1.8,0.0,0.0,no,no,2,33.0,0,0,Emma Yang,Female,Other,0,11020
high,0,21,1.5,0.03,32.78,no,no,0,20.0,1,4,Sharon Johnson,Female,Other,0,11020
high,2,25,3.0,0.04,95.8,no,no,0,8.0,0,4,Zachary Cruz,Male,Other,0,11020
high,0,27,2.28,0.01,27.78,no,no,3,36.0,1,5,James Green,Male,Other,0,11020
high,0,26,2.8,0.09,215.07,no,no,1,12.0,1,16,Erin Rodriguez,Female,San Diego,2,11022
high,0,22,2.7,0.04,79.51,no,no,0,3.0,1,0,Willie Arnold,Male,Other,0,11020
low,3,27,4.9,0.0,0.0,yes,no,2,16.0,1,15,Thomas Smith,Male,Other,0,11020
low,0,26,2.5,0.0,0.0,no,yes,0,18.0,0,0,Laurie Bowen,Not Declared,Other,0,11020
high,0,40,6.0,0.06,306.03,no,yes,2,182.0,1,16,Lydia Edwards,Female,San Diego,2,11022
high,0,42,3.9,0.03,104.54,no,no,0,78.0,1,2,James Jones,Male,Other,0,11020
low,0,21,5.1,0.0,0.0,no,no,0,25.0,1,0,Brooke Jordan,Female,Other,0,11020
high,0,24,3.07,0.25,642.47,no,no,0,4.0,1,0,Brianna Elliott,Female,Sacramento,1,11021
high,0,30,2.46,0.15,308.05,yes,no,2,53.0,1,16,Michael White,Male,San Diego,2,11022
high,0,27,2.0,0.11,186.35,no,no,0,9.0,1,5,Bruce Simmons,Male,San Francisco,3,11023
high,0,33,3.25,0.02,56.15,no,no,2,144.0,0,2,Olivia Martin,Female,Other,0,11020
high,0,37,2.72,0.06,129.37,no,no,2,13.0,1,14,Sean White,Male,Other,0,11020
high,0,26,2.2,0.05,93.11,no,no,0,144.0,1,10,Jeffrey Nelson,Male,Other,0,11020
low,1,24,4.1,0.0,0.0,no,no,1,5.0,0,4,Alicia Cooper,Female,Other,0,11020
high,0,24,3.75,0.09,292.66,no,no,0,18.0,1,11,Matthew Rios,Male,San Diego,2,11022
high,0,25,2.88,0.04,98.46,no,no,0,7.0,1,0,Bradley Pearson,Male,Other,0,11020
high,0,0,3.05,0.1,258.55,no,no,1,94.0,1,5,Sean Morgan Jr.,Male,San Diego,2,11022
high,0,32,2.55,0.05,101.68,no,no,2,6.0,1,18,Paul Reilly,Male,Other,0,11020
low,0,32,4.0,0.0,0.0,no,no,2,25.0,1,0,Adam Wilson,Male,Other,0,11020
high,1,54,2.64,0.03,65.25,yes,no,1,78.0,1,19,Xavier Sanchez,Male,Other,0,11020
high,0,19,1.65,0.08,108.61,no,no,0,37.0,1,8,Stephanie Cochran,Female,Other,0,11020
high,0,29,2.4,0.02,49.56,no,no,0,30.0,1,4,Peter Brown,Male,Other,0,11020
low,3,40,3.71,0.0,0.0,no,no,2,15.0,1,11,Karen Le,Female,Other,0,11020
high,0,40,7.24,0.04,235.57,yes,no,2,177.0,1,13,Tricia Robinson,Female,San Diego,2,11022
low,0,41,4.39,0.0,0.0,yes,no,3,172.0,1,9,Kevin Pierce,Male,Other,0,11020
low,0,34,3.3,0.0,0.0,yes,no,2,33.0,0,18,Mark Ramirez,Male,Other,0,11020
low,0,23,2.3,0.0,0.0,no,no,1,12.0,1,0,Gregory Reilly,Male,Other,0,11020
low,1,53,4.18,0.0,0.0,no,no,1,288.0,1,2,Sharon Fuller,Female,Other,0,11020
low,2,34,2.49,0.0,0.0,no,no,1,87.0,1,3,William Thompson,Male,Other,0,11020
low,0,44,2.81,0.0,0.0,yes,no,5,4.0,1,0,Ashley Young,Female,Other,0,11020
high,0,43,2.4,0.03,68.38,no,no,0,12.0,1,0,Caitlin Mclaughlin,Female,Other,0,11020
low,4,35,1.5,0.0,0.0,no,no,1,7.0,1,9,Susan Williams,Female,Other,0,11020
low,2,35,8.4,0.0,0.0,no,no,2,69.0,1,12,Michael Romero,Male,Other,0,11020
high,0,21,1.56,0.0,0.0,no,no,0,12.0,1,2,Reginald Gross,Male,Other,0,11020
high,1,32,6.0,0.09,474.15,yes,no,0,48.0,1,6,Robert Keller,Male,Sacramento,1,11021
medium,1,25,3.6,0.08,234.05,no,no,2,12.0,1,4,Anthony Brown,Male,San Diego,2,11022
high,0,26,5.0,0.11,451.2,yes,no,0,5.0,1,16,Gary Williams,Male,San Diego,2,11022
high,0,46,5.5,0.05,251.52,yes,no,2,161.0,1,7,Alexander Robinson,Male,San Diego,2,11022
high,1,35,10.0,0.11,917.54,yes,no,0,72.0,1,29,Robert Graves,Male,Sacramento,1,11021
low,0,35,4.55,0.0,0.0,yes,no,3,36.0,1,15,Joshua Lee,Male,Other,0,11020
low,0,20,2.9,0.0,0.0,no,no,0,36.0,1,3,Valerie Franco,Female,Other,0,11020
high,0,25,1.8,0.1,147.72,no,no,0,1.0,0,9,James Huff,Male,San Francisco,3,11023
high,0,31,4.2,0.05,166.73,yes,no,0,53.0,1,0,Jody Spence,Female,San Francisco,3,11023
medium,0,23,3.92,0.23,741.5,no,no,0,16.0,1,0,Allen Smith,Male,Sacramento,1,11021
high,0,23,3.62,0.04,106.17,no,no,1,51.0,0,6,Rebecca Hamilton,Female,Other,0,11020
high,0,24,2.48,0.13,271.47,no,no,0,18.0,1,0,Jose Brown,Male,San Diego,2,11022
high,0,40,10.0,0.08,635.05,yes,no,3,120.0,1,17,Walter Joseph,Male,Sacramento,1,11021
high,0,43,10.04,0.02,182.82,yes,no,1,12.0,1,18,Jessica Kirby,Female,San Francisco,3,11023
high,0,23,2.95,0.04,89.37,yes,no,0,12.0,1,17,Anna Yu,Female,Other,0,11020
high,0,41,5.0,0.24,1011.33,no,no,1,36.0,1,5,Victor Luna,Male,Sacramento,1,11021
high,0,28,2.4,0.11,227.37,no,no,0,1.0,1,29,Chloe Walker,Female,San Diego,2,11022
high,0,45,13.5,0.01,115.42,yes,no,2,126.0,1,9,Alexander Owens,Male,Other,0,11020
low,3,25,4.0,0.0,0.0,no,no,0,36.0,0,5,Lawrence Williams,Male,Other,0,11020
high,1,37,3.9,0.09,297.97,no,no,0,51.0,1,4,Evan Guzman,Male,San Diego,2,11022
high,1,37,2.0,0.06,101.26,yes,no,3,42.0,1,3,Michael Jensen,Male,Other,0,11020
high,0,30,2.15,0.03,56.69,no,no,0,12.0,1,4,Heather Weiss,Female,Other,0,11020
high,0,21,3.0,0.03,77.36,no,no,2,18.0,0,2,Michele Garcia,Female,Other,0,11020
high,0,40,4.3,0.03,122.52,no,no,0,108.0,1,4,Richard Newton,Male,Other,0,11020
low,4,23,10.0,0.0,0.0,no,no,2,27.0,1,5,Andrew White DVM,Male,Other,0,11020
high,0,21,2.5,0.01,13.4,no,no,0,32.0,1,3,David Henry,Male,Other,0,11020
high,0,22,3.0,0.05,127.53,no,no,0,120.0,1,11,Jeffrey Hopkins,Male,Other,0,11020
high,0,40,2.6,0.0,8.33,yes,no,0,52.0,1,3,Rodney King,Male,Other,0,11020
high,1,18,1.66,0.06,78.43,yes,no,0,51.0,1,2,Elizabeth Daniels,Female,Other,0,11020
high,0,34,4.5,0.0,11.17,yes,yes,4,30.0,1,6,Patricia Lyons,Not Declared,Other,0,11020
high,0,25,5.0,0.03,131.88,no,no,0,38.0,1,16,Jonathan Morris,Male,Other,0,11020
high,0,20,1.74,0.19,277.99,no,no,0,8.0,1,11,Thomas Davis,Male,San Diego,2,11022
high,0,24,1.88,0.08,126.02,no,no,1,14.0,0,1,Joseph Jennings,Male,Other,0,11020
high,0,41,3.0,0.1,238.86,yes,no,3,120.0,0,0,Sara Collins,Female,San Diego,2,11022
low,5,31,4.2,0.0,0.0,no,no,3,52.0,0,19,Mark Thomas,Male,Other,0,11020
low,0,53,4.9,0.0,0.0,yes,yes,0,108.0,0,1,Samuel Davis,Male,Other,0,11020
high,0,24,2.13,0.02,37.08,no,no,1,13.0,1,4,Kevin Gillespie,Male,Other,0,11020
low,1,25,1.7,0.0,0.0,no,no,2,8.0,0,11,Jennifer Jarvis,Female,Other,0,11020
high,0,21,1.68,0.11,156.58,no,no,0,18.0,0,2,Brian Gonzalez,Male,San Francisco,3,11023
low,0,20,2.64,0.0,0.0,no,no,3,7.0,1,1,Christopher Austin,Male,Other,0,11020
medium,0,18,1.97,0.01,9.75,no,no,0,114.0,0,2,Sarah Hunt,Not Declared,Other,0,11020
high,0,22,3.3,0.04,108.4,no,no,0,6.0,1,8,Kelly Nelson,Female,Other,0,11020
high,0,21,1.59,0.21,271.55,no,no,0,180.0,1,16,Brandon Graham,Male,San Diego,2,11022
high,0,42,3.6,0.02,53.3,no,yes,0,41.0,0,14,Charles George,Not Declared,Other,0,11020
high,0,36,3.0,0.11,282.56,no,no,2,16.0,1,6,Steven Griffin,Male,San Diego,2,11022
high,0,41,3.8,0.08,263.33,no,no,0,67.0,1,4,Adam Robinson,Male,San Diego,2,11022
high,0,26,3.36,0.0,6.52,no,no,0,12.0,1,4,Kimberly Stone,Female,Other,0,11020
low,2,33,2.32,0.0,0.0,no,no,0,62.0,0,3,Joseph Lamb,Male,Other,0,11020
high,0,43,7.8,0.01,43.04,yes,no,0,60.0,0,2,Gerald Rasmussen,Male,Other,0,11020
high,0,30,2.5,0.04,73.8,yes,yes,3,30.0,1,9,Michael Barajas,Male,Other,0,11020
high,0,25,1.5,0.01,15.42,no,no,1,12.0,1,7,Kevin King,Male,Other,0,11020
high,0,35,3.58,0.1,313.35,yes,no,1,84.0,1,10,Jamie Austin,Female,San Diego,2,11022
high,1,44,4.0,0.02,59.19,yes,no,0,36.0,1,13,Jeffrey Mathis,Male,Other,0,11020
high,3,43,6.72,0.03,176.0,yes,no,3,30.0,1,27,Marcus Acosta,Male,San Francisco,3,11023
high,2,50,4.3,0.04,129.39,yes,yes,1,264.0,1,15,Benjamin Miller,Male,Other,0,11020
high,0,31,3.5,0.01,30.37,yes,no,1,36.0,1,5,Brandon Fuentes,Male,Other,0,11020
low,1,43,3.95,0.0,0.0,yes,no,2,27.0,1,4,Melissa Henderson,Not Declared,Other,0,11020
low,5,27,4.0,0.0,0.0,yes,no,0,37.0,1,7,Mr. Franklin Jones,Male,Other,0,11020
high,0,24,2.4,0.23,461.26,no,no,1,164.0,0,1,Collin Wagner,Male,San Diego,2,11022
high,0,49,2.7,0.09,199.73,yes,no,0,120.0,0,3,Austin Marshall,Male,San Francisco,3,11023
high,0,28,6.6,0.01,38.71,no,no,2,55.0,1,7,Cynthia Roberts,Female,Other,0,11020
high,0,26,2.7,0.04,92.26,no,no,0,18.0,1,0,Cody Williams,Male,Other,0,11020
high,0,29,4.1,0.04,145.38,no,no,0,13.0,1,0,Jordan Pena,Male,Other,0,11020
high,0,71,7.7,0.06,400.91,yes,no,1,24.0,1,9,Bryce Serrano,Male,San Diego,2,11022
high,0,24,2.8,0.06,138.71,no,no,0,5.0,1,0,Lisa Ellis,Female,Other,0,11020
high,0,25,3.12,0.04,110.3,no,no,2,3.0,1,6,Claudia Garrison,Female,Other,0,11020
high,0,24,2.3,0.03,54.65,no,no,0,30.0,1,2,Andrea Johnson,Female,Other,0,11020
high,0,30,3.67,0.0,4.58,yes,no,0,57.0,1,3,Brady Walters,Male,Other,0,11020
low,0,32,6.5,0.0,0.0,yes,no,0,50.0,1,6,Larry Leach,Male,Other,0,11020
high,0,23,2.56,0.15,320.52,no,no,1,11.0,1,2,Richard Boyd,Male,San Diego,2,11022
high,0,48,3.5,0.07,197.92,yes,no,0,48.0,1,9,Peter Bowers,Male,San Francisco,3,11023
high,0,25,3.24,0.03,68.87,no,no,0,30.0,1,19,Pedro Bolton,Male,Other,0,11020
high,0,25,3.48,0.05,148.26,yes,no,0,14.0,1,5,Dylan Carroll,Male,San Francisco,3,11023
high,0,24,2.94,0.03,68.53,no,no,0,14.0,1,0,Derrick Davis,Male,Other,0,11020
low,1,29,2.48,0.0,0.0,no,no,1,12.0,0,5,John Miller,Male,Other,0,11020
low,5,28,3.12,0.0,0.0,no,no,0,13.0,0,7,Kevin Thompson,Male,Other,0,11020
low,0,32,2.5,0.0,0.0,no,no,1,60.0,1,0,Kendra Graham,Female,Other,0,11020
high,0,26,3.0,0.05,121.56,yes,no,0,12.0,1,4,Breanna Parker,Female,Other,0,11020
high,0,34,6.0,0.02,86.23,yes,no,1,48.0,1,5,Gabrielle Monroe,Female,Other,0,11020
high,0,28,2.6,0.05,105.1,yes,no,0,27.0,1,6,Christian Everett,Male,Other,0,11020
high,0,23,3.9,0.02,58.99,no,no,1,14.0,1,7,George Gomez,Male,Other,0,11020
low,1,30,2.5,0.0,0.0,no,no,0,18.0,1,6,Jason Contreras,Male,Other,0,11020
low,1,34,3.3,0.0,0.0,no,no,3,48.0,0,3,Mathew Armstrong,Male,Other,0,11020
high,0,31,5.9,0.03,123.89,no,no,1,12.0,1,2,Emily Golden,Female,Other,0,11020
high,1,36,7.8,0.01,78.54,yes,no,1,24.0,1,18,Kathryn Clark,Not Declared,Other,0,11020
low,3,32,2.06,0.0,0.0,no,no,0,48.0,1,8,Robert Terrell,Male,Other,0,11020
high,0,31,5.7,0.01,38.06,yes,yes,2,84.0,0,26,Amanda Burgess,Female,Other,0,11020
high,0,28,2.16,0.03,46.14,no,no,2,7.0,1,0,Gabrielle White,Female,Other,0,11020
low,3,41,4.6,0.0,0.0,no,no,0,57.0,1,3,Valerie Carpenter,Female,Other,0,11020
high,0,21,3.5,0.09,265.01,no,no,2,42.0,1,9,Clifford Woods,Male,San Diego,2,11022
high,0,30,2.55,0.04,74.73,yes,no,1,11.0,1,0,Michael Hardy,Male,Other,0,11020
high,0,43,1.75,0.07,107.76,yes,no,0,18.0,0,2,Veronica Jennings,Female,Other,0,11020
high,0,29,1.95,0.0,6.5,yes,no,2,96.0,1,2,John Curry,Male,Other,0,11020
high,0,33,5.0,0.05,209.06,yes,no,3,10.0,1,10,Deborah Castaneda,Not Declared,San Diego,2,11022
high,0,24,2.89,0.08,193.07,no,no,0,12.0,0,0,Ann Hamilton,Not Declared,San Francisco,3,11023
high,0,25,2.7,0.06,144.38,yes,no,1,17.0,1,8,Steven Wong,Male,Other,0,11020
high,0,24,4.0,0.11,358.97,no,no,0,7.0,1,10,Gina Harris,Female,San Diego,2,11022
high,0,24,2.3,0.03,59.15,no,no,0,12.0,1,0,Alyssa Holland,Female,Other,0,11020
high,0,32,2.4,0.0,0.0,no,no,1,11.0,1,8,Kevin Kramer,Male,Other,0,11020
low,0,46,2.6,0.0,0.0,no,no,0,61.0,1,8,Michelle Hoffman,Female,Other,0,11020
high,0,21,2.4,0.23,465.2,yes,no,1,168.0,1,4,Michael Pierce,Male,San Diego,2,11022
high,0,36,2.52,0.07,142.24,no,no,2,53.0,0,3,Donna Ross,Female,Other,0,11020
high,0,23,1.56,0.39,501.8,no,no,0,33.0,0,1,Angelica Ortega,Female,Sacramento,1,11021
high,0,49,2.4,0.04,88.59,no,yes,0,14.0,1,6,Eric Ibarra,Male,Other,0,11020
high,0,26,2.0,0.17,282.88,no,no,0,2.0,1,2,Jeffrey Callahan,Male,San Diego,2,11022
high,1,29,2.58,0.17,361.16,no,no,0,6.0,1,12,Bonnie Fisher,Female,San Diego,2,11022
high,0,33,3.15,0.06,150.18,no,yes,0,128.0,0,3,Charles Roth,Male,San Francisco,3,11023
high,0,29,2.3,0.04,76.24,no,no,2,24.0,0,5,Ashley Holmes,Female,Other,0,11020
high,0,47,4.65,0.02,58.25,no,no,2,25.0,1,11,Christian Robles,Male,Other,0,11020
high,0,21,3.12,0.03,88.23,no,no,0,56.0,1,3,Alison Elliott,Female,Other,0,11020
high,0,30,2.0,0.0,7.08,yes,no,3,45.0,1,14,Erin Hunter,Female,Other,0,11020
low,6,62,2.55,0.0,0.0,no,no,2,20.0,0,13,Heather Thompson,Not Declared,Other,0,11020
high,1,21,2.46,0.14,289.04,no,no,1,4.0,1,11,Thomas Brown,Male,San Diego,2,11022
high,0,30,3.8,0.03,102.98,no,no,0,26.0,0,1,Tonya Williams,Female,Other,0,11020
high,0,47,2.64,0.01,13.92,yes,no,0,4.0,1,12,Kayla Nicholson,Female,Other,0,11020
high,1,39,7.0,0.11,641.42,yes,no,2,30.0,0,22,Michael Johnson,Male,Sacramento,1,11021
low,0,53,2.8,0.0,0.0,no,no,1,156.0,0,11,James Williams,Male,Other,0,11020
low,0,22,3.15,0.0,0.0,no,no,2,19.0,0,0,Daniel Rogers,Male,Other,0,11020
low,1,24,6.0,0.0,0.0,no,no,2,17.0,1,2,Daniel Lamb,Male,Other,0,11020
high,0,25,3.25,0.03,84.28,no,no,0,6.0,1,17,David Garcia,Male,Other,0,11020
high,0,61,4.32,0.04,132.85,yes,no,1,252.0,0,0,Christopher Hoffman,Male,Other,0,11020
high,0,29,2.5,0.08,159.6,no,no,0,7.0,1,21,Patrick Cook,Male,San Francisco,3,11023
high,0,35,3.0,0.05,135.04,no,no,1,6.0,1,8,Noah Brown,Male,Other,0,11020
high,0,26,3.5,0.09,250.52,no,no,0,52.0,1,2,Jennifer Holden,Female,San Diego,2,11022
high,0,42,4.56,0.05,188.62,no,no,0,144.0,1,11,Shaun Roberts,Male,San Francisco,3,11023
high,0,27,2.76,0.01,23.25,no,no,0,30.0,1,1,Sean Mason,Not Declared,Other,0,11020
high,0,22,2.54,0.1,214.06,yes,no,2,23.0,1,9,Andrea Butler,Female,San Diego,2,11022
low,7,40,3.24,0.0,0.0,no,no,0,50.0,1,16,Paul Andersen,Male,Other,0,11020
low,2,35,3.84,0.0,0.0,no,no,0,38.0,0,2,Crystal James,Female,Other,0,11020
high,0,32,1.32,0.04,42.63,no,no,1,6.0,1,2,Patrick Osborne,Male,Other,0,11020
low,0,25,3.9,0.0,0.0,no,no,0,18.0,1,3,William Martin,Male,Other,0,11020
low,0,56,2.04,0.0,0.0,yes,no,0,35.0,1,11,Melissa Jensen,Female,Other,0,11020
high,1,30,7.29,0.08,474.5,yes,no,4,43.0,1,14,Gregory Sanford,Male,Sacramento,1,11021
high,0,25,7.5,0.05,304.38,yes,no,0,300.0,1,8,James Simpson,Male,San Diego,2,11022
high,0,34,3.26,0.03,78.75,no,no,1,31.0,1,6,Benjamin Spence,Male,Other,0,11020
high,0,24,1.63,0.18,238.33,no,no,1,4.0,1,5,Rebecca Scott,Female,San Diego,2,11022
high,0,40,8.0,0.05,311.14,yes,no,2,38.0,1,0,Timothy Ingram,Male,San Diego,2,11022
high,0,31,2.2,0.04,77.05,yes,no,2,17.0,1,16,Johnny Moore,Male,Other,0,11020
high,0,27,5.0,0.03,120.4,yes,no,1,24.0,1,0,Troy Taylor,Male,Other,0,11020
high,0,30,3.0,0.06,156.57,yes,no,2,72.0,1,8,Brian Patrick,Male,San Francisco,3,11023
high,0,46,2.0,0.01,10.58,yes,no,0,76.0,1,1,Ashley Brown,Female,Other,0,11020
high,0,20,1.54,0.09,114.82,no,no,0,6.0,1,2,Christopher Merritt,Male,Other,0,11020
low,0,28,1.5,0.0,0.0,no,no,1,5.0,0,0,Brooke Brown,Female,Other,0,11020
high,0,51,3.0,0.07,179.77,yes,no,0,121.0,1,0,Joseph Jones,Male,San Francisco,3,11023
high,1,41,5.0,0.15,625.37,yes,no,3,84.0,1,7,Carlos Romero,Male,Sacramento,1,11021
high,0,51,4.72,0.02,84.9,yes,no,1,60.0,0,0,Jordan Bush,Male,Other,0,11020
high,0,53,1.5,0.0,0.0,yes,no,0,57.0,0,6,Mary Taylor,Female,Other,0,11020
high,0,26,2.3,0.04,67.67,no,no,0,24.0,1,0,Richard Carpenter,Male,Other,0,11020
high,0,20,1.6,0.08,111.69,no,no,0,3.0,1,0,Scott Kim,Male,Other,0,11020
high,0,27,2.2,0.14,257.3,no,no,0,3.0,0,1,Jennifer Mendez,Female,San Diego,2,11022
high,0,23,4.32,0.19,675.77,no,no,2,36.0,1,11,Richard Brown,Male,Sacramento,1,11021
low,0,23,2.6,0.0,0.0,no,yes,0,37.0,1,7,Brandon Lynch,Male,Other,0,11020
high,0,20,1.68,0.18,245.33,no,no,0,10.0,1,0,Loretta Wilson,Female,San Diego,2,11022
high,0,83,2.87,0.01,13.33,yes,yes,0,38.0,0,11,Mindy Chavez,Female,Other,0,11020
high,0,24,2.6,0.07,149.54,no,yes,0,21.0,1,2,Kevin Watson,Male,San Francisco,3,11023
high,0,33,2.9,0.1,253.37,yes,no,2,14.0,1,20,Derrick Williams,Male,San Diego,2,11022
high,0,25,2.65,0.01,20.48,no,no,0,12.0,1,9,Johnny Gonzalez,Male,Other,0,11020
high,0,26,1.9,0.03,41.82,no,no,0,18.0,1,9,Michael Phillips,Male,Other,0,11020
high,0,65,2.95,0.05,118.71,yes,no,1,230.0,1,19,Robert Anderson,Male,Other,0,11020
high,0,21,3.12,0.09,225.46,no,no,1,10.0,0,6,Colleen Brown,Female,San Diego,2,11022
high,0,35,4.11,0.03,101.2,yes,no,1,37.0,1,23,Theresa Vargas,Female,Other,0,11020
low,1,46,6.0,0.0,0.0,yes,no,2,84.0,1,46,Adam Johnson,Male,Other,0,11020
high,0,25,2.0,0.01,10.42,no,no,0,24.0,1,19,Joy White,Female,Other,0,11020
low,2,35,3.38,0.0,0.0,yes,no,2,18.0,1,15,Brandon Moran,Male,Other,0,11020
high,0,33,3.5,0.0,7.17,no,no,0,12.0,1,0,James Gonzales,Male,Other,0,11020
high,0,30,2.6,0.01,12.08,yes,no,4,51.0,1,16,James Woods,Male,Other,0,11020
low,11,26,3.5,0.0,0.0,no,no,0,14.0,0,27,Stephen Rodriguez,Male,Other,0,11020
